Pdate,vDiff
2018-01-23,-1.9
2018-01-24,-1.9
2018-01-25,-1.9
2018-01-26,-1.1
2018-01-27,-1.2
2018-01-28,-0.7
2018-01-29,-0.5
2018-01-30,-0.5
2018-01-31,-0.5
2018-02-01,-0.9
2018-02-02,-1.4
2018-02-03,-1.8
2018-02-04,-1.4
2018-02-05,-1.8
2018-02-06,-1.9
2018-02-07,-1.8
2018-02-08,-1
2018-02-09,-0.1
2018-02-10,-1
2018-02-11,-1.8
2018-02-12,-1.3
2018-02-13,-1.3
2018-02-14,-1.4
2018-02-15,-0.5
2018-02-16,-0.5
2018-02-17,0.4
2018-02-18,1.2
2018-02-19,2.7
2018-02-20,2.8
2018-02-21,2.9
2018-02-22,3
2018-02-23,3.1
2018-02-24,2.1
2018-02-25,2.1
2018-02-26,1.6
2018-02-27,1.5
2018-02-28,1.5
2018-03-01,0.9
2018-03-02,1.1
2018-03-03,0.5
2018-03-04,-0.2
2018-03-05,-1
2018-03-06,-1.1
2018-03-07,-1.1
2018-03-08,-1
2018-03-09,-0.6
2018-03-10,0.6
2018-03-11,1
2018-03-12,0.7
2018-03-13,0.7
2018-03-14,0.7
2018-03-15,0
2018-03-16,0.1
2018-03-17,1.2
2018-03-18,1.5
2018-03-19,0.6
2018-03-20,0.6
2018-03-21,0.6
2018-03-22,1.1
2018-03-23,1.1
2018-03-24,1.2
2018-03-25,0.4
2018-03-26,-1
2018-03-27,-1.1
2018-03-28,-1.1
2018-03-29,-1.4
2018-03-30,-2.7
2018-03-31,-3.8
2018-04-01,-3.9
2018-04-02,-4.9
2018-04-03,-4.9
2018-04-04,-4.8
2018-04-05,-4.3
2018-04-06,-3.9
2018-04-07,-4.2
2018-04-08,-4.3
2018-04-09,-4.3
2018-04-10,-4.2
2018-04-11,-4.2
2018-04-12,-2.8
2018-04-13,-3.2
2018-04-14,-2.9
2018-04-15,-3.5
2018-04-16,-2.3
2018-04-17,-2.3
2018-04-18,-2.4
2018-04-19,-3.5
2018-04-20,-5
2018-04-21,-5.8
2018-04-22,-6
2018-04-23,-6.3
2018-04-24,-6.3
2018-04-25,-6.2
2018-04-26,-5.3
2018-04-27,-5.7
2018-04-28,-7.2
2018-04-29,-7.6
2018-04-30,-8.1
2018-05-01,-8.1
2018-05-02,-8.2
2018-05-03,-9.9
2018-05-04,-9
2018-05-05,-9.4
2018-05-06,-9.4
2018-05-07,-8.9
2018-05-08,-8.9
2018-05-09,-9
2018-05-10,-10.3
2018-05-11,-9.4
2018-05-12,-9.2
2018-05-13,-9.4
2018-05-14,-10.5
2018-05-15,-10.6
2018-05-16,-10.7
2018-05-17,-11.4
2018-05-18,-12.3
2018-05-19,-13.4
2018-05-20,-12.9
2018-05-21,-12.5
2018-05-22,-12.5
2018-05-23,-12.6
2018-05-24,-14
2018-05-25,-14.2
2018-05-26,-14.8
2018-05-27,-15.1
2018-05-28,-14.4
2018-05-29,-14.3
2018-05-30,-14.2
2018-05-31,-14.3
2018-06-01,-14.3
2018-06-02,-14.6
2018-06-03,-13.7
2018-06-04,-11.7
2018-06-05,-11.7
2018-06-06,-11.5
2018-06-07,-10.9
2018-06-08,-11.4
2018-06-09,-12.6
2018-06-10,-12.7
2018-06-11,-11.7
2018-06-12,-11.7
2018-06-13,-11.7
2018-06-14,-9.9
2018-06-15,-9.9
2018-06-16,-9.9
2018-06-17,-11.7
2018-06-18,-11.1
2018-06-19,-11.1
2018-06-20,-11.2
2018-06-21,-11
2018-06-22,-10.5
2018-06-23,-11.3
2018-06-24,-11.8
2018-06-25,-9.5
2018-06-26,-9.5
2018-06-27,-9.6
2018-06-28,-11.6
2018-06-29,-11.7
2018-06-30,-11.1
2018-07-01,-10.3
2018-07-02,-12.2
2018-07-03,-12.2
2018-07-04,-12.3
2018-07-05,-11.8
2018-07-06,-13.5
2018-07-07,-14.4
2018-07-08,-14.6
2018-07-09,-15.6
2018-07-10,-15.6
2018-07-11,-15.7
2018-07-12,-14.7
2018-07-13,-14.6
2018-07-14,-14.9
2018-07-15,-14.3
2018-07-16,-13.6
2018-07-17,-13.5
2018-07-18,-13.5
2018-07-19,-14.1
2018-07-20,-15.1
2018-07-21,-11.4
2018-07-22,-11.4
2018-07-23,-11.5
2018-07-24,-11.5
2018-07-25,-11.5
2018-07-26,-9.1
2018-07-27,-9.2
2018-07-28,-10.2
2018-07-29,-10.2
2018-07-30,-10.2
2018-07-31,-10.2
2018-08-01,-10.2
2018-08-02,-10.6
2018-08-03,-10.8
2018-08-04,-10.9
2018-08-05,-11.8
2018-08-06,-12
2018-08-07,-12
2018-08-08,-11.9
2018-08-09,-12.4
2018-08-10,-11
2018-08-11,-9.9
2018-08-12,-11
2018-08-13,-10.7
2018-08-14,-10.7
2018-08-15,-10.8
2018-08-16,-11.2
2018-08-17,-11.6
2018-08-18,-9.6
2018-08-19,-9.9
2018-08-20,-11.3
2018-08-21,-11.4
2018-08-22,-11.5
2018-08-23,-11.5
2018-08-24,-11.1
2018-08-25,-9.9
2018-08-26,-10.3
2018-08-27,-10.1
2018-08-28,-10.2
2018-08-29,-10.3
2018-08-30,-10.4
2018-08-31,-10.8
2018-09-01,-12.7
2018-09-02,-13.5
2018-09-03,-13.6
2018-09-04,-13.6
2018-09-05,-13.6
2018-09-06,-14.1
2018-09-07,-13.9
2018-09-08,-15.7
2018-09-09,-16.2
2018-09-10,-16.8
2018-09-11,-16.9
2018-09-12,-16.9
2018-09-13,-16.9
2018-09-14,-17.1
2018-09-15,-16.4
2018-09-16,-15.8
2018-09-17,-17.1
2018-09-18,-17.2
2018-09-19,-17.2
2018-09-20,-17.4
2018-09-21,-19.2
2018-09-22,-19
2018-09-23,-17.5
2018-09-24,-17.7
2018-09-25,-17.7
2018-09-26,-17.7
2018-09-27,-17.5
2018-09-28,-17.6
2018-09-29,-17.8
2018-09-30,-16.9
